subject, state, phase, time
2, start, 0, 2018-01-19T17:52:38.717913+00:00
2, stop, 0, 2018-01-19T17:52:50.781590+00:00
2, start, 0, 2018-01-19T17:52:57.790869+00:00
2, stop, 0, 2018-01-19T17:53:09.877051+00:00
2, start, 0, 2018-01-19T17:53:14.907063+00:00
2, stop, 0, 2018-01-19T17:53:27.482320+00:00
2, start, 1, 2018-01-19T17:53:50.192937+00:00
2, stop, 1, 2018-01-19T17:54:02.278465+00:00
2, start, 1, 2018-01-19T17:54:10.127570+00:00
2, stop, 1, 2018-01-19T17:54:22.191943+00:00
2, start, 1, 2018-01-19T17:54:27.218757+00:00
2, stop, 1, 2018-01-19T17:54:39.296621+00:00
2, start, 1, 2018-01-19T17:54:45.792206+00:00
2, stop, 1, 2018-01-19T17:54:57.847587+00:00
2, start, 1, 2018-01-19T17:55:02.582222+00:00
2, stop, 1, 2018-01-19T17:55:14.641911+00:00
2, start, 1, 2018-01-19T17:55:23.343670+00:00
2, stop, 1, 2018-01-19T17:55:35.421128+00:00
2, start, 1, 2018-01-19T17:55:41.686342+00:00
2, stop, 1, 2018-01-19T17:55:53.744284+00:00
2, start, 1, 2018-01-19T17:56:00.591674+00:00
2, stop, 1, 2018-01-19T17:56:12.661397+00:00
2, start, 1, 2018-01-19T17:56:17.350543+00:00
2, stop, 1, 2018-01-19T17:56:29.418177+00:00
2, start, 1, 2018-01-19T17:56:37.744843+00:00
2, stop, 1, 2018-01-19T17:56:49.879835+00:00
2, start, 1, 2018-01-19T17:56:54.518765+00:00
2, stop, 1, 2018-01-19T17:57:06.564006+00:00
2, start, 1, 2018-01-19T17:57:12.281715+00:00
2, stop, 1, 2018-01-19T17:57:24.347981+00:00
2, start, 2, 2018-01-19T17:58:15.439240+00:00
2, stop, 2, 2018-01-19T17:58:43.701953+00:00
2, start, 2, 2018-01-19T17:58:58.931236+00:00
2, stop, 2, 2018-01-19T17:59:36.061676+00:00
2, start, 3, 2018-01-19T18:00:25.493565+00:00
2, stop, 3, 2018-01-19T18:01:00.798934+00:00
2, start, 3, 2018-01-19T18:01:06.685825+00:00
2, stop, 3, 2018-01-19T18:02:43.013672+00:00
2, start, 3, 2018-01-19T18:02:51.090941+00:00
2, stop, 3, 2018-01-19T18:04:13.283404+00:00
2, start, 3, 2018-01-19T18:04:19.468612+00:00
2, stop, 3, 2018-01-19T18:06:31.599753+00:00
2, start, 3, 2018-01-19T18:06:39.468972+00:00
2, stop, 3, 2018-01-19T18:07:44.973131+00:00
2, start, 3, 2018-01-19T18:07:48.720103+00:00
2, stop, 3, 2018-01-19T18:09:19.827581+00:00
2, start, 3, 2018-01-19T18:09:26.359661+00:00
2, stop, 3, 2018-01-19T18:10:46.836171+00:00
2, start, 3, 2018-01-19T18:10:58.056334+00:00
2, stop, 3, 2018-01-19T18:11:40.561349+00:00
2, start, 3, 2018-01-19T18:11:44.655404+00:00
2, stop, 3, 2018-01-19T18:12:28.841103+00:00
2, start, 3, 2018-01-19T18:12:35.293436+00:00
2, stop, 3, 2018-01-19T18:13:04.035037+00:00
2, start, 3, 2018-01-19T18:13:08.358114+00:00
2, stop, 3, 2018-01-19T18:13:42.942498+00:00
