,Period,SubjectID,Phase,Order,GamePairID,Start,Stop
0,1,1,0,1,1,2018-01-19 12:52:42.999642-05:00,2018-01-19 12:52:55.195631-05:00
1,1,1,0,2,2,2018-01-19 12:53:02.695930-05:00,2018-01-19 12:53:15.302756-05:00
2,1,1,0,3,3,2018-01-19 12:53:22.896308-05:00,2018-01-19 12:53:34.942321-05:00
3,1,1,1,1,1,2018-01-19 12:53:58.724374-05:00,2018-01-19 12:54:10.738688-05:00
4,1,1,1,2,2,2018-01-19 12:54:15.587406-05:00,2018-01-19 12:54:27.621169-05:00
5,1,1,1,3,3,2018-01-19 12:54:32.739561-05:00,2018-01-19 12:54:44.729414-05:00
6,1,1,1,4,4,2018-01-19 12:54:51.248097-05:00,2018-01-19 12:55:03.278194-05:00
7,1,1,1,5,5,2018-01-19 12:55:08.072735-05:00,2018-01-19 12:55:20.089074-05:00
8,1,1,1,6,6,2018-01-19 12:55:28.847232-05:00,2018-01-19 12:55:40.869221-05:00
9,1,1,1,7,7,2018-01-19 12:55:47.165072-05:00,2018-01-19 12:55:59.184827-05:00
10,1,1,1,8,8,2018-01-19 12:56:06.070051-05:00,2018-01-19 12:56:18.082542-05:00
11,1,1,1,9,9,2018-01-19 12:56:22.856574-05:00,2018-01-19 12:56:34.864467-05:00
12,1,1,1,10,10,2018-01-19 12:56:43.234037-05:00,2018-01-19 12:56:55.248862-05:00
13,1,1,1,11,11,2018-01-19 12:56:59.980234-05:00,2018-01-19 12:57:12.010796-05:00
14,1,1,1,12,12,2018-01-19 12:57:17.790029-05:00,2018-01-19 12:57:29.788268-05:00
15,1,1,2,1,1,2018-01-19 12:58:19.824480-05:00,2018-01-19 12:58:49.201879-05:00
16,1,1,2,2,1,2018-01-19 12:59:04.727621-05:00,2018-01-19 12:59:41.485301-05:00
17,1,1,3,1,1,2018-01-19 13:00:30.199754-05:00,2018-01-19 13:02:14.630116-05:00
18,1,1,3,2,2,2018-01-19 13:02:23.414041-05:00,2018-01-19 13:03:17.187014-05:00
19,1,1,3,3,4,2018-01-19 13:03:24.252595-05:00,2018-01-19 13:04:28.275072-05:00
20,1,1,3,4,3,2018-01-19 13:04:32.756172-05:00,2018-01-19 13:05:07.008739-05:00
21,1,1,3,5,7,2018-01-19 13:05:11.447188-05:00,2018-01-19 13:05:56.419842-05:00
22,1,1,3,6,12,2018-01-19 13:06:01.563383-05:00,2018-01-19 13:06:56.744521-05:00
23,1,1,3,7,5,2018-01-19 13:07:01.195853-05:00,2018-01-19 13:07:53.016462-05:00
24,1,1,3,8,6,2018-01-19 13:07:56.742684-05:00,2018-01-19 13:08:19.665055-05:00
25,1,1,3,9,10,2018-01-19 13:08:23.731730-05:00,2018-01-19 13:09:16.892578-05:00
26,1,1,3,10,11,2018-01-19 13:09:20.863704-05:00,2018-01-19 13:10:43.597823-05:00
27,1,1,3,11,9,2018-01-19 13:10:47.619189-05:00,2018-01-19 13:11:14.316151-05:00
