subject, state, phase, time
1, start, 0, 2018-01-16T01:24:01.051059+00:00
1, stop, 0, 2018-01-16T01:24:13.684080+00:00
1, start, 0, 2018-01-16T01:24:18.646309+00:00
1, stop, 0, 2018-01-16T01:24:30.906896+00:00
1, start, 0, 2018-01-16T01:24:34.730275+00:00
1, stop, 0, 2018-01-16T01:24:47.415498+00:00
1, start, 1, 2018-01-16T01:25:24.747986+00:00
1, stop, 1, 2018-01-16T01:25:37.706615+00:00
1, start, 1, 2018-01-16T01:25:48.365327+00:00
1, stop, 1, 2018-01-16T01:25:59.978396+00:00
1, start, 1, 2018-01-16T01:26:08.869409+00:00
1, stop, 1, 2018-01-16T01:26:20.548911+00:00
1, start, 1, 2018-01-16T01:26:29.387749+00:00
1, stop, 1, 2018-01-16T01:26:41.149310+00:00
1, start, 1, 2018-01-16T01:26:51.247366+00:00
1, stop, 1, 2018-01-16T01:27:02.698608+00:00
1, start, 1, 2018-01-16T01:27:12.570241+00:00
1, stop, 1, 2018-01-16T01:27:24.590013+00:00
1, start, 1, 2018-01-16T01:27:36.908109+00:00
1, stop, 1, 2018-01-16T01:27:48.729686+00:00
1, start, 1, 2018-01-16T01:27:57.282477+00:00
1, stop, 1, 2018-01-16T01:28:09.264829+00:00
1, start, 1, 2018-01-16T01:28:16.450734+00:00
1, stop, 1, 2018-01-16T01:28:27.886884+00:00
1, start, 1, 2018-01-16T01:28:38.339966+00:00
1, stop, 1, 2018-01-16T01:28:50.081431+00:00
1, start, 1, 2018-01-16T01:29:00.892284+00:00
1, stop, 1, 2018-01-16T01:29:12.724177+00:00
1, start, 1, 2018-01-16T01:29:23.207242+00:00
1, stop, 1, 2018-01-16T01:29:34.886801+00:00
1, start, 2, 2018-01-16T01:29:57.532962+00:00
1, stop, 2, 2018-01-16T01:30:03.819934+00:00
1, start, 2, 2018-01-16T01:30:12.947516+00:00
1, stop, 2, 2018-01-16T01:30:16.010428+00:00
1, start, 3, 2018-01-16T01:30:26.403986+00:00
1, stop, 3, 2018-01-16T01:30:27.784622+00:00
1, start, 3, 2018-01-16T01:30:36.559203+00:00
1, stop, 3, 2018-01-16T01:30:37.704951+00:00
1, start, 3, 2018-01-16T01:30:46.566991+00:00
1, stop, 3, 2018-01-16T01:30:47.753254+00:00
1, start, 3, 2018-01-16T01:30:51.127322+00:00
1, stop, 3, 2018-01-16T01:30:52.248528+00:00
1, start, 3, 2018-01-16T01:30:55.408189+00:00
1, stop, 3, 2018-01-16T01:30:56.490830+00:00
1, start, 3, 2018-01-16T01:30:59.757769+00:00
1, stop, 3, 2018-01-16T01:31:00.933541+00:00
1, start, 3, 2018-01-16T01:31:03.939675+00:00
1, stop, 3, 2018-01-16T01:31:05.638137+00:00
1, start, 3, 2018-01-16T01:31:09.242928+00:00
1, stop, 3, 2018-01-16T01:31:10.745037+00:00
1, start, 3, 2018-01-16T01:31:15.834733+00:00
1, stop, 3, 2018-01-16T01:31:18.969248+00:00
1, start, 3, 2018-01-16T01:31:22.578529+00:00
1, stop, 3, 2018-01-16T01:31:24.056289+00:00
1, start, 3, 2018-01-16T01:31:27.447623+00:00
1, stop, 3, 2018-01-16T01:31:29.798628+00:00
